NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
LeBron James,CLE,3.0,80,3388,0.31,0.25,17.6,4.7,30.8,8.3,8.2
Stephon Marbury,NYK,1.0,82,3281,0.26,0.204,13.9,3.3,26.1,3.6,9.8
Gilbert Arenas,WAS,1.3,80,3274,0.21,0.154,10.5,1.7,29.9,5.5,6.0
Joe Johnson,PHO,2.5,82,3240,0.189,0.133,9.0,1.0,20.7,6.3,4.3
Tracy McGrady,HOU,2.9,78,3182,0.231,0.175,11.6,2.4,30.2,7.3,6.8
Allen Iverson,PHI,1.0,75,3174,0.169,0.112,7.4,0.4,34.8,4.5,9.0
Shawn Marion,PHO,3.9,81,3146,0.36,0.214,14.1,3.6,23.9,14.0,2.3
Kevin Garnett,MIN,4.1,82,3121,0.465,0.31,20.2,6.6,27.9,17.0,7.2
Mike Bibby,SAC,1.0,80,3084,0.21,0.154,9.9,1.7,24.5,5.2,8.4
Ray Allen,OKC,2.0,78,3064,0.184,0.128,8.2,0.9,29.2,5.4,4.5
Tayshaun Prince,DET,3.1,82,3039,0.246,0.184,11.7,2.6,19.0,6.9,3.9
Dirk Nowitzki,DAL,4.4,78,3020,0.333,0.178,11.2,2.5,32.3,12.0,3.8
Chris Bosh,TOR,4.5,81,3017,0.249,0.093,5.9,-0.2,21.7,11.4,2.4
Elton Brand,LAC,4.3,81,3001,0.321,0.166,10.4,2.1,25.9,12.3,3.3
Steve Francis,ORL,1.3,78,2978,0.156,0.099,6.2,0.0,26.8,7.3,8.8
Dwyane Wade,MIA,1.9,77,2974,0.233,0.177,11.0,2.4,29.9,6.4,8.4
Paul Pierce,BOS,2.7,82,2960,0.265,0.209,12.9,3.4,28.7,8.7,5.6
Antoine Walker,"ATL, BOS",3.1,77,2955,0.111,0.027,1.7,-2.2,23.9,11.3,4.3
Richard Hamilton,DET,2.1,76,2926,0.124,0.068,4.2,-1.0,23.4,4.8,6.1
Chucky Atkins,LAL,1.0,82,2903,0.141,0.085,5.1,-0.4,18.4,3.3,5.9
Desmond Mason,MIL,2.5,80,2893,0.099,0.043,2.6,-1.7,22.8,5.2,3.6
Amare Stoudemire,PHO,5.0,80,2889,0.344,0.189,11.4,2.8,34.6,11.8,2.2
Chauncey Billups,DET,1.3,80,2866,0.276,0.22,13.1,3.8,22.0,4.5,7.8
Kurt Thomas,NYK,4.5,80,2855,0.239,0.084,5.0,-0.5,15.4,14.0,2.7
Andre Miller,DEN,1.4,82,2852,0.237,0.181,10.7,2.5,18.7,5.7,9.6
Michael Redd,MIL,2.5,75,2848,0.103,0.047,2.8,-1.6,29.0,5.3,2.9
Quentin Richardson,PHO,2.5,79,2839,0.154,0.098,5.8,0.0,19.9,8.1,2.7
Eddie Jones,MIA,2.6,80,2839,0.205,0.15,8.8,1.6,17.2,6.8,3.6
Vince Carter,"BRK, TOR",2.5,77,2828,0.207,0.151,8.9,1.6,32.0,6.8,5.6
P.J. Brown,NOR,4.8,82,2817,0.319,0.164,9.6,2.0,15.1,12.6,3.0
Kirk Hinrich,CHI,1.5,77,2800,0.188,0.132,7.7,1.0,20.7,5.2,8.5
Bobby Simmons,LAC,3.1,75,2799,0.195,0.132,7.7,1.0,21.1,7.6,3.5
David Wesley,"HOU, NOR",2.0,80,2774,0.143,0.087,5.0,-0.4,16.4,3.9,4.6
Damon Stoudamire,POR,1.0,81,2762,0.143,0.087,5.0,-0.4,22.2,5.4,8.0
Caron Butler,LAL,2.7,77,2746,0.175,0.119,6.8,0.6,20.9,7.9,2.6
Tony Parker,SAS,1.1,80,2735,0.195,0.138,7.9,1.2,23.4,5.2,8.6
Jason Richardson,GSW,2.5,72,2724,0.18,0.124,7.0,0.8,27.5,7.5,5.0
Rafer Alston,TOR,1.0,80,2717,0.193,0.137,7.7,1.2,20.1,4.9,9.1
Jalen Rose,TOR,2.7,81,2710,0.11,0.054,3.1,-1.4,26.5,4.9,3.7
Rashard Lewis,OKC,3.5,71,2697,0.225,0.119,6.7,0.6,25.9,6.9,1.7
Ricky Davis,BOS,2.5,82,2696,0.12,0.064,3.6,-1.1,23.3,4.4,4.4
Kobe Bryant,LAL,2.0,66,2689,0.195,0.139,7.8,1.3,32.5,7.0,7.1
Jamal Crawford,NYK,1.9,70,2688,0.122,0.066,3.7,-1.0,22.2,3.6,5.4
Rasheed Wallace,DET,4.5,79,2687,0.221,0.066,3.7,-1.0,20.5,11.5,2.5
Andre Iguodala,PHI,2.5,82,2686,0.3,0.244,13.7,4.5,13.2,8.3,4.4
Udonis Haslem,MIA,4.0,80,2675,0.341,0.185,10.3,2.7,15.6,13.0,1.9
Ben Wallace,DET,4.5,74,2671,0.419,0.264,14.7,5.1,13.0,16.2,2.2
Dwight Howard,ORL,5.0,82,2670,0.368,0.213,11.8,3.5,17.6,14.8,1.3
Kyle Korver,PHI,2.8,82,2667,0.224,0.168,9.3,2.1,17.0,6.8,3.3
