Year,name,team,position,games_played,minutes,adjusted_plus_minus_per_48,wins_produced_per_48,wins_produced,points_over_par_per_48,points_per_48,rebounds_per_48,assists_per_48
1979,George Johnson,"DEN, BRK",4.5,156,4057,0.278,0.116,9.8,0.5,16.0,14.0,3.9
1979,Norm Nixon,LAL,1.6,82,3226,0.163,0.111,7.4,0.4,21.5,3.4,9.6
1979,Elvin Hayes,WAS,4.0,81,3183,0.142,-0.024,-1.6,-3.8,28.0,13.5,1.9
1979,Bill Cartwright,NYK,5.0,82,3150,0.26,0.094,6.2,-0.1,27.1,11.1,2.5
1979,Kareem Abdul-Jabbar,LAL,5.0,82,3143,0.44,0.274,18.0,5.5,31.1,13.5,5.7
1979,Moses Malone,HOU,4.9,82,3140,0.391,0.225,14.7,3.9,32.4,18.2,2.2
1979,Jamaal Wilkes,LAL,3.0,82,3111,0.22,0.171,11.1,2.2,25.4,8.1,3.9
1979,Micheal Ray Richardson,NYK,2.1,82,3060,0.338,0.289,18.4,5.9,19.7,8.5,13.1
1979,Reggie Theus,CHI,2.0,82,3029,0.189,0.14,8.8,1.3,26.3,5.2,8.2
1979,Wes Unseld,WAS,5.0,82,2973,0.466,0.3,18.6,6.3,12.8,17.7,5.9
1979,Gus Williams,OKC,1.0,82,2969,0.246,0.189,11.7,2.8,29.4,4.4,6.4
1979,Larry Bird,BOS,3.2,82,2955,0.307,0.23,14.2,4.1,28.3,13.8,6.0
1979,Toby Knight,NYK,3.3,81,2945,0.197,0.107,6.6,0.2,25.2,8.0,2.4
1979,Dan Issel,DEN,4.9,82,2938,0.297,0.131,8.0,1.0,31.9,11.7,3.2
1979,Dennis Johnson,OKC,1.7,81,2937,0.147,0.095,5.8,-0.1,25.2,6.8,5.4
1979,George Gervin,SAS,2.0,78,2934,0.172,0.123,7.5,0.8,42.3,6.6,3.3
1979,Johnny Davis,IND,1.0,82,2912,0.102,0.045,2.7,-1.7,21.4,3.7,7.3
1979,Otis Birdsong,SAC,2.0,82,2885,0.164,0.115,6.9,0.5,30.9,5.5,3.4
1979,Tiny Archibald,BOS,1.0,80,2864,0.279,0.221,13.2,3.8,19.0,3.3,11.2
1979,Swen Nater,LAC,5.0,81,2860,0.418,0.252,15.0,4.8,18.2,20.4,3.9
1979,Calvin Natt,"BRK, POR",3.4,78,2857,0.225,0.13,7.7,1.0,26.1,11.6,2.8
1979,Sonny Parker,GSW,2.9,82,2849,0.258,0.209,12.4,3.4,20.3,7.8,4.3
1979,Ron Brewer,POR,1.2,82,2815,0.081,0.025,1.4,-2.3,21.9,3.6,3.7
1979,Julius Erving,PHI,3.0,78,2812,0.323,0.274,16.1,5.5,35.8,9.8,6.1
1979,Mike Mitchell,CLE,3.0,82,2802,0.193,0.144,8.4,1.4,31.2,10.1,1.6
1979,Larry Kenon,SAS,3.0,78,2798,0.213,0.164,9.6,2.0,26.8,13.3,4.0
1979,Magic Johnson,LAL,1.0,77,2795,0.384,0.326,19.0,7.1,23.8,10.2,9.7
1979,Jack Sikma,OKC,5.0,82,2793,0.324,0.158,9.2,1.8,20.2,15.6,4.8
1979,Dave Greenwood,CHI,4.0,82,2791,0.236,0.07,4.0,-0.9,22.9,13.3,3.1
1979,Caldwell Jones,PHI,4.5,80,2771,0.273,0.107,6.2,0.2,10.2,16.5,2.8
1979,John Lucas,GSW,1.0,80,2763,0.244,0.186,10.7,2.7,17.5,3.8,10.5
1979,Brian Taylor,LAC,1.0,78,2754,0.202,0.144,8.3,1.4,18.4,3.3,5.8
1979,Cedric Maxwell,BOS,4.0,80,2744,0.442,0.276,15.8,5.5,23.6,12.3,3.5
1979,Truck Robinson,PHO,4.2,82,2710,0.209,0.043,2.4,-1.7,25.1,13.6,2.5
1979,Marques Johnson,MIL,3.1,77,2686,0.348,0.289,16.2,5.9,29.9,10.1,4.9
1979,Randy Smith,CLE,2.0,82,2677,0.099,0.05,2.8,-1.5,25.8,4.6,6.5
1979,Calvin Murphy,HOU,2.0,76,2676,0.114,0.065,3.6,-1.1,27.3,2.7,5.4
1979,Adrian Dantley,UTH,3.7,68,2674,0.301,0.174,9.7,2.3,34.2,9.3,3.4
1979,Ricky Sobers,CHI,1.0,82,2673,0.089,0.031,1.7,-2.1,20.8,4.3,7.6
1979,Terry Tyler,DET,3.1,82,2670,0.236,0.18,10.0,2.5,18.1,11.3,2.3
1979,Dave Robisch,CLE,5.0,82,2670,0.329,0.163,9.1,2.0,22.6,11.8,3.5
1979,Paul Westphal,PHO,1.1,82,2665,0.244,0.187,10.4,2.7,32.3,3.4,7.5
1979,Eddie Jordan,BRK,1.0,82,2657,0.193,0.135,7.5,1.1,19.6,4.9,10.1
1979,Kermit Washington,POR,4.1,80,2657,0.414,0.248,13.7,4.6,19.4,15.2,3.0
1979,Mickey Johnson,IND,3.4,82,2647,0.256,0.164,9.0,2.0,28.4,12.3,6.2
1979,Brian Winters,MIL,2.0,80,2623,0.14,0.091,5.0,-0.3,23.6,4.1,6.6
1979,Maurice Cheeks,PHI,1.0,79,2623,0.336,0.279,15.2,5.6,16.4,5.0,10.2
1979,Eddie Johnson,ATL,2.0,79,2622,0.182,0.133,7.3,1.1,26.8,3.7,6.8
1979,Phil Ford,SAC,1.0,82,2621,0.194,0.136,7.4,1.2,24.3,3.1,11.2
1979,Dan Roundfield,ATL,4.0,81,2588,0.357,0.196,10.5,3.0,24.7,15.5,3.4
1979,World B. Free,LAC,1.5,68,2585,0.119,0.066,3.6,-1.0,38.2,4.4,5.3
1979,Ray Williams,NYK,1.0,82,2582,0.238,0.181,9.7,2.5,31.9,7.7,9.5
1979,Darryl Dawkins,PHI,5.0,80,2541,0.21,0.044,2.4,-1.7,22.3,13.1,2.8
1979,John Johnson,OKC,3.0,81,2533,0.249,0.2,10.6,3.1,17.3,8.1,8.0
1979,Mike Newlin,BRK,2.0,78,2510,0.133,0.084,4.4,-0.5,31.2,5.0,6.0
1979,Don Buse,PHO,2.0,81,2499,0.23,0.181,9.4,2.6,12.0,4.5,6.1
1979,Greg Ballard,WAS,3.1,82,2438,0.281,0.217,11.0,3.7,25.1,12.6,3.1
1979,Foots Walker,CLE,1.0,76,2422,0.365,0.307,15.5,6.5,14.1,5.7,12.0
1979,Sam Lacey,SAC,5.0,81,2412,0.348,0.183,9.2,2.6,14.8,12.8,9.2
1979,Alex English,"DEN, IND",3.0,78,2401,0.236,0.187,9.4,2.7,26.3,12.1,4.5
1979,Jan Van Breda Kolff,BRK,3.0,82,2399,0.238,0.189,9.4,2.8,11.2,8.6,4.9
1979,Jim Chones,LAL,4.3,82,2394,0.148,-0.018,-0.9,-3.6,17.4,11.3,3.0
1979,Ron Boone,"LAL, UTH",1.6,81,2392,0.037,-0.015,-0.8,-3.6,20.1,4.6,6.2
1979,Bob Wilkerson,DEN,2.6,75,2381,-0.001,-0.05,-2.5,-4.6,20.8,6.4,4.9
1979,John Long,DET,2.1,69,2364,0.128,0.079,3.9,-0.6,27.1,6.8,4.2
1979,Ben Poquette,UTH,5.0,82,2349,0.275,0.11,5.4,0.3,14.9,11.4,2.7
1979,Scott Wedman,SAC,3.0,68,2347,0.197,0.148,7.2,1.5,26.4,7.9,3.0
1979,Tom Owens,POR,5.0,76,2337,0.24,0.075,3.6,-0.8,25.7,11.8,4.0
1979,Mike Bantom,IND,4.0,77,2330,0.211,0.046,2.2,-1.7,18.7,9.4,5.7
1979,Joe Bryant,LAC,3.8,81,2328,0.172,0.034,1.7,-2.0,15.5,10.6,3.0
1979,Junior Bridgeman,MIL,2.7,81,2316,0.102,0.053,2.5,-1.4,29.5,6.2,4.9
1979,James Edwards,IND,5.0,82,2314,0.199,0.033,1.6,-2.0,26.7,12.0,2.6
1979,Walter Davis,PHO,3.0,75,2309,0.245,0.196,9.4,3.0,33.5,5.7,7.0
1979,John Drew,ATL,3.0,80,2306,0.105,0.056,2.7,-1.3,32.5,9.8,2.1
1979,Robert Reid,HOU,3.0,76,2304,0.213,0.164,7.9,2.0,20.6,9.2,5.1
1979,Allan Bristow,UTH,3.0,82,2304,0.248,0.199,9.6,3.1,19.9,10.7,7.1
1979,James Silas,SAS,1.0,77,2293,0.144,0.087,4.1,-0.4,28.6,3.5,7.3
1979,John Roche,DEN,1.0,82,2286,0.177,0.119,5.7,0.6,19.6,2.4,8.5
1979,Lonnie Shelton,OKC,4.0,76,2243,0.315,0.149,7.0,1.6,22.1,12.5,3.1
1979,George McGinnis,"DEN, IND",4.1,73,2208,0.175,0.009,0.4,-2.8,23.3,15.2,7.2
1979,Dave Meyers,MIL,4.0,79,2204,0.167,0.001,0.1,-3.0,20.8,9.8,4.9
1979,Billy Paultz,"HOU, SAS",5.0,84,2193,0.285,0.119,5.4,0.6,16.7,12.8,4.1
1979,Alvan Adams,PHO,5.0,75,2168,0.344,0.178,8.0,2.5,24.8,13.5,7.1
1979,Dave Cowens,BOS,5.0,66,2159,0.204,0.038,1.7,-1.9,20.9,11.9,4.6
1979,Sidney Wicks,LAC,4.2,71,2146,0.15,-0.016,-0.7,-3.6,11.3,9.1,4.8
1979,Bob Lanier,"DET, MIL",5.0,63,2131,0.342,0.176,7.8,2.4,27.3,12.4,4.1
1979,Bobby Jones,PHI,4.0,81,2125,0.331,0.165,7.3,2.1,23.8,10.2,3.3
1979,Tree Rollins,ATL,5.0,82,2123,0.52,0.354,15.7,7.9,16.5,17.5,1.7
1979,Bingo Smith,"CLE, LAC",3.0,78,2123,0.045,-0.004,-0.2,-3.2,20.2,5.9,2.3
1979,Allen Leavell,HOU,1.0,77,2123,0.226,0.168,7.4,2.2,19.1,4.2,9.4
1979,Terry Furlow,"ATL, UTH",2.0,76,2122,0.117,0.068,3.0,-1.0,23.9,4.4,6.6
1979,Robert Parish,GSW,5.0,72,2119,0.282,0.116,5.1,0.5,27.7,17.7,2.8
1979,Freeman Williams,LAC,2.0,82,2118,0.053,0.004,0.2,-2.9,34.6,4.4,3.8
1979,Chris Ford,BOS,2.0,73,2115,0.21,0.161,7.1,1.9,18.5,4.1,4.9
1979,Mark Olberding,SAS,3.8,75,2111,0.196,0.055,2.4,-1.4,18.0,9.5,7.4
1979,Bob McAdoo,DET,4.0,58,2097,0.11,-0.056,-2.4,-4.8,28.0,10.7,4.6
1979,Armond Hill,ATL,1.0,79,2092,0.155,0.098,4.3,0.0,11.0,3.2,9.7
1979,Tom Boswell,"DEN, UTH",4.5,79,2077,0.211,0.045,2.0,-1.7,20.9,10.2,3.7
1979,Jo Jo White,GSW,1.4,78,2052,0.083,0.029,1.2,-2.2,18.0,4.2,5.6
1979,Reggie King,SAC,3.9,82,2052,0.347,0.187,8.0,2.7,15.7,13.2,2.5
1979,Henry Bibby,PHI,1.4,82,2035,0.112,0.058,2.5,-1.3,17.4,4.9,7.2
1979,Dudley Bradley,IND,2.0,82,2027,0.207,0.158,6.7,1.8,16.3,5.3,6.0
1979,M.L. Carr,BOS,2.9,82,1994,0.201,0.153,6.3,1.7,22.0,7.9,3.8
1979,Michael Cooper,LAL,2.3,82,1973,0.181,0.132,5.4,1.0,17.6,5.6,5.4
1979,Kevin Restani,SAS,4.9,82,1966,0.199,0.033,1.3,-2.1,21.3,9.4,4.6
1979,Rick Robey,BOS,5.0,82,1918,0.259,0.093,3.7,-0.2,23.6,13.3,2.3
1979,Bill Robinzine,SAC,4.0,81,1917,0.247,0.081,3.3,-0.5,23.2,13.2,1.6
1979,Billy Knight,IND,2.4,75,1910,0.288,0.239,9.5,4.3,24.8,9.1,3.9
1979,Kent Benson,"DET, MIL",5.0,73,1891,0.22,0.054,2.1,-1.4,17.7,11.5,4.5
1979,Maurice Lucas,"BRK, POR",4.6,63,1884,0.164,-0.002,-0.1,-3.1,23.5,13.7,5.3
1979,Larry Demic,NYK,4.0,82,1872,0.077,-0.089,-3.5,-5.8,14.6,12.4,1.6
1979,Charlie Scott,DEN,1.7,69,1860,-0.063,-0.114,-4.4,-6.6,16.5,4.3,6.5
1979,Steve Hawes,ATL,5.0,82,1853,0.322,0.156,6.0,1.8,19.7,12.8,3.7
1979,T.R. Dunn,POR,2.0,82,1841,0.23,0.181,6.9,2.5,14.7,8.4,3.8
1979,Rich Kelley,"BRK, PHO",5.0,80,1839,0.323,0.157,6.0,1.8,18.3,13.4,4.6
1979,Kenny Carr,"CLE, LAL",4.0,79,1838,0.237,0.075,2.9,-0.8,24.3,15.4,2.0
1979,Rudy Tomjanovich,HOU,3.9,62,1834,0.144,-0.006,-0.2,-3.3,23.0,9.4,2.9
1979,Coby Dietrick,CHI,5.0,79,1830,0.22,0.054,2.0,-1.4,14.3,9.5,5.7
1979,Kevin Grevey,WAS,2.0,65,1818,0.081,0.032,1.2,-2.1,24.1,4.9,4.7
1979,Rick Barry,HOU,2.8,72,1816,0.129,0.08,3.0,-0.6,22.9,6.2,7.1
1979,Paul Griffin,SAS,4.0,82,1812,0.358,0.192,7.2,2.9,13.8,11.6,6.6
1979,Charlie Criss,ATL,1.0,81,1794,0.111,0.053,2.0,-1.4,18.0,3.1,6.6
1979,Duck Williams,UTH,1.0,77,1794,0.037,-0.021,-0.8,-3.7,13.5,2.8,4.9
1979,Jim Cleamons,"NYK, WAS",1.2,79,1789,0.19,0.134,5.0,1.1,13.9,4.1,7.7
1979,Leon Douglas,DET,5.0,70,1782,0.223,0.057,2.1,-1.3,15.3,13.5,3.3
1979,Wayne Cooper,GSW,4.1,79,1781,0.169,0.003,0.1,-3.0,23.5,13.7,1.1
1979,Fred Brown,OKC,2.0,80,1701,0.135,0.086,3.1,-0.4,27.1,4.4,4.9
1979,Quinn Buckner,MIL,1.0,67,1690,0.244,0.186,6.6,2.7,20.4,6.8,10.9
1979,Clifford Ray,GSW,5.0,81,1683,0.231,0.065,2.3,-1.0,14.0,13.3,5.2
1979,Cliff Robinson,BRK,4.0,70,1661,0.208,0.042,1.4,-1.8,27.5,14.6,2.8
1979,Purvis Short,GSW,3.2,62,1636,0.135,0.066,2.3,-1.0,31.0,9.3,3.6
1979,James Hardy,UTH,4.0,76,1600,0.249,0.083,2.8,-0.5,12.6,12.0,3.1
1979,Austin Carr,CLE,1.7,77,1595,0.033,-0.018,-0.6,-3.6,27.4,5.0,4.5
1979,Paul Silas,OKC,3.6,82,1595,0.267,0.144,4.8,1.4,9.5,13.1,2.0
1979,Dave Twardzik,POR,1.0,67,1594,0.23,0.172,5.7,2.3,17.1,4.7,8.2
1979,Mike Bratz,PHO,1.0,82,1589,0.032,-0.026,-0.8,-3.9,21.1,5.0,6.7
1979,Bob Gross,POR,3.0,62,1581,0.173,0.124,4.1,0.8,16.3,7.6,6.9
1979,Artis Gilmore,CHI,5.0,48,1568,0.37,0.204,6.7,3.3,26.2,13.2,4.1
1979,Joe Meriweather,NYK,4.3,65,1565,0.201,0.035,1.1,-2.0,17.9,10.7,2.0
1979,Sidney Moncrief,MIL,1.3,77,1557,0.33,0.275,8.9,5.5,20.2,10.4,4.1
1979,Phil Smith,GSW,2.0,51,1552,0.069,0.02,0.7,-2.4,24.5,4.5,5.8
1979,Tom Henderson,HOU,1.5,66,1551,0.178,0.124,4.0,0.8,11.3,3.4,8.5
1979,Eric Money,"DET, PHI",1.0,61,1549,0.065,0.007,0.2,-2.9,19.5,3.2,7.9
1979,Major Jones,HOU,4.0,82,1545,0.212,0.046,1.5,-1.6,13.6,11.8,2.1
1979,Spencer Haywood,LAL,4.0,76,1544,0.148,-0.018,-0.6,-3.6,22.9,10.8,2.9
1979,Steve Mix,PHI,3.2,81,1543,0.258,0.181,5.8,2.5,29.1,9.0,4.6
1979,Clemon Johnson,IND,5.0,79,1541,0.311,0.145,4.6,1.4,14.7,12.3,3.6
1979,Ollie Johnson,CHI,3.0,79,1535,0.13,0.081,2.6,-0.6,19.0,5.1,5.0
1979,Jim McElroy,"ATL, DET",2.0,67,1528,0.046,-0.003,-0.1,-3.2,18.6,3.1,7.1
1979,Roger Phegley,"BRK, WAS",2.6,78,1512,0.055,0.006,0.2,-2.9,28.0,5.9,3.2
1979,Mark Landsberger,"CHI, LAL",3.2,77,1510,0.364,0.292,9.2,6.0,19.5,19.5,1.5
1979,Kevin Porter,WAS,1.0,70,1494,0.185,0.127,3.9,0.9,16.4,2.6,14.7
1979,Mike Gale,SAS,1.0,67,1474,0.26,0.202,6.2,3.2,14.4,4.9,10.2
1979,Bob Dandridge,WAS,3.0,45,1457,0.084,0.035,1.1,-2.0,25.8,8.1,5.9
1979,Dwight Jones,"CHI, HOU",4.0,74,1448,0.199,0.033,1.0,-2.1,21.9,12.2,3.3
1979,Bill Willoughby,CLE,4.0,78,1447,0.231,0.065,2.0,-1.1,17.7,10.9,2.4
