Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
2122,WAS,1,Dinwiddie-Caldwell-Pope-Beal-Kuzma-Gafford,315.3,1.04,1.09,-39,11,13,45.8
2122,WAS,2,Dinwiddie-Caldwell-Pope-Beal-Kuzma-Harrell,119.5,1.10,1.14,-5,10,9,52.6
2122,WAS,3,Satoransky-Caldwell-Pope-Kispert-Hachimura-Porzingis,118.5,1.21,1.12,+22,5,5,50.0
2122,WAS,4,Neto-Caldwell-Pope-Kispert-Kuzma-Bryant,72.9,1.09,1.07,+3,5,4,55.5
2122,WAS,5,Neto-Caldwell-Pope-Beal-Kuzma-Gafford,72.7,1.14,1.22,-16,8,10,44.4
2122,WAS,6,Neto-Caldwell-Pope-Kispert-Kuzma-Gafford,72.3,1.24,1.32,-14,3,8,27.2
2122,WAS,7,Neto-Caldwell-Pope-Kispert-Kuzma-Porzingis,71.3,1.14,1.13,+5,4,2,66.6
2122,WAS,8,Neto-Beal-Avdija-Kuzma-Harrell,65.2,1.10,1.08,+1,6,8,42.8
2122,WAS,9,A.Holiday-Dinwiddie-Caldwell-Pope-Kuzma-Gafford,52.5,1.04,1.11,-10,2,3,40.0
2122,WAS,10,Smith-Kispert-Avdija-Hachimura-Gafford,52.4,1.04,1.16,-11,4,8,33.3
2122,WAS,11,Smith-Kispert-Avdija-Gill-Gafford,52.0,1.13,1.34,-23,2,4,33.3
2122,WAS,12,Neto-Caldwell-Pope-Avdija-Kuzma-Gafford,48.9,0.95,1.22,-31,3,10,23.0
2122,WAS,13,A.Holiday-Dinwiddie-Kispert-Avdija-Harrell,47.8,1.13,1.08,+5,5,6,45.4
2122,WAS,14,Neto-Caldwell-Pope-Beal-Kuzma-Harrell,47.6,1.01,1.14,-15,9,12,42.8
2122,WAS,15,A.Holiday-Dinwiddie-Avdija-Bertans-Harrell,47.1,0.96,1.31,-26,0,6,0.0
2122,WAS,16,Neto-Beal-Avdija-Bertans-Harrell,46.5,1.12,1.03,+8,9,5,64.2
2122,WAS,17,Neto-Caldwell-Pope-Kispert-Hachimura-Porzingis,41.4,1.07,1.32,-19,0,2,0.0
2122,WAS,18,Caldwell-Pope-Beal-Avdija-Kuzma-Gafford,39.6,1.10,1.16,-2,4,1,80.0
2122,WAS,19,Satoransky-Caldwell-Pope-Avdija-Hachimura-Porzingis,36.0,1.01,1.09,-7,3,5,37.5
2122,WAS,20,Dinwiddie-Caldwell-Pope-Beal-Avdija-Gafford,35.3,1.01,1.21,-15,1,2,33.3
