0,1,2,3,4,5,6,7,8
,,Production,Production,Production,On Court/Off Court,On Court/Off Court,On Court/Off Court,Simple
Player,Min,Own,Opp,Net,On,Off,Net,Rating
Young,61%,29.4,18.5,+10.9,+6.1,-3.5,+9.6,+10.5
Capela,55%,30.4,19.4,+11.0,+6.4,-2.6,+9.0,+10.3
Collins,53%,26.0,20.8,+5.2,+4.8,-0.5,+5.3,+5.2
Bogdanovic,38%,22.4,16.1,+6.3,+4.1,+1.3,+2.8,+5.1
Hunter,20%,19.9,15.6,+4.3,+6.0,+1.4,+4.6,+4.4
Mays,8%,21.5,16.4,+5.1,+2.4,+2.3,+0.1,+3.4
Gallinari,35%,21.1,17.8,+3.3,+3.7,+1.6,+2.1,+2.9
Knight,8%,17.7,18.7,-0.9,-3.0,+2.8,-5.8,-2.6
Snell,29%,12.0,16.6,-4.5,+3.2,+2.0,+1.1,-2.7
Huerter,61%,15.5,19.3,-3.8,+1.6,+3.5,-1.8,-3.1
L.Williams,15%,13.2,21.5,-8.3,-0.6,+2.8,-3.4,-6.7
Rondo,12%,13.0,19.0,-6.0,-6.0,+3.4,-9.4,-7.1
Hill,43%,8.7,18.7,-10.0,+0.8,+3.5,-2.7,-7.6
Goodwin,18%,12.1,20.3,-8.2,-4.6,+3.8,-8.4,-8.3
Okongwu,17%,20.4,28.1,-7.7,-7.3,+4.3,-11.6,-9.0
Reddish,22%,12.0,22.4,-10.4,-3.2,+3.9,-7.1,-9.3
Fernando,6%,8.6,27.6,-18.9,-4.8,+2.8,-7.7,-15.2
Dunn,1%,-6.7,22.4,-29.1,-34.3,+2.8,-37.2,-29.4
,,Production,Production,Production,On Court/Off Court,On Court/Off Court,On Court/Off Court,Simple
Player,Min,Own,Opp,Net,On,Off,Net,Rating
VanVleet,55%,21.6,16.3,+5.3,+3.6,-5.5,+9.1,+6.6
Boucher,42%,27.6,22.3,+5.3,+3.3,-3.2,+6.5,+5.7
Siakam,58%,22.7,19.2,+3.6,+3.2,-5.5,+8.7,+5.3
Anunoby,41%,19.6,16.5,+3.2,+4.0,-3.7,+7.7,+4.7
Powell,37%,22.7,18.8,+3.9,-0.7,-0.3,-0.4,+2.5
Lowry,46%,21.2,20.6,+0.6,-0.2,-0.7,+0.5,+0.6
Birch,17%,21.1,20.1,+0.9,-1.7,-0.2,-1.5,+0.1
Ellenson,1%,17.8,15.5,+2.2,+9.0,-0.6,+9.5,+0.0
Bembry,28%,14.4,16.5,-2.1,+0.4,-0.8,+1.2,-1.0
Watson,9%,14.2,15.7,-1.5,-0.7,-0.5,-0.2,-1.1
Harris,5%,19.5,24.7,-5.2,-0.3,-0.5,+0.2,-3.4
Flynn,27%,14.4,16.5,-2.1,-5.2,+1.2,-6.4,-3.5
Watanabe,21%,15.7,20.2,-4.5,-2.8,+0.1,-2.9,-4.0
TrentJr.,16%,14.8,18.7,-3.9,-4.6,+0.3,-4.9,-4.3
Davis,14%,14.4,24.0,-9.6,-0.2,-0.5,+0.3,-6.3
Baynes,28%,13.3,23.6,-10.3,-4.0,+0.9,-5.0,-8.5
Hood,6%,9.7,18.1,-8.4,-9.0,+0.1,-9.1,-8.6
Gillespie,11%,16.5,24.5,-7.9,-9.7,+0.7,-10.5,-8.8
Johnson,29%,11.3,19.7,-8.4,-7.7,+2.5,-10.2,-9.0
McCaw,1%,14.9,18.4,-3.5,-26.9,-0.2,-26.7,-11.2
Thomas,6%,10.8,25.7,-14.8,-7.4,-0.1,-7.3,-12.3
Len,2%,5.7,28.7,-23.0,-14.8,-0.2,-14.6,-20.2
