0,1,2,3,4,5,6,7,8
#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1,Wall-Beal-Pierce-Nene-Gortat,.492,.451,0,31%,25%,49.5%,0%
2,Wall-Beal-Pierce-Humphries-Gortat,.461,.436,-34,29%,27%,50.0%,0%
3,Wall-Temple-Pierce-Nene-Gortat,.450,.422,+47,30%,27%,50.0%,+1%
4,A.Miller-Porter-Butler-Humphries-Seraphin,.480,.472,-29,29%,35%,53.0%,-2%
5,Wall-Beal-Porter-Gooden-Gortat,.462,.415,-8,30%,29%,55.5%,+1%
6,Wall-Beal-Pierce-Gooden-Gortat,.469,.414,+2,23%,30%,47.0%,+6%
7,Wall-Beal-Butler-Humphries-Gortat,.460,.407,-37,18%,33%,42.0%,0%
8,A.Miller-Porter-Butler-Nene-Seraphin,.525,.400,-24,33%,26%,56.5%,-6%
9,Wall-Beal-Porter-Humphries-Gortat,.478,.460,+7,23%,29%,59.0%,-5%
10,Wall-Beal-Porter-Nene-Gortat,.505,.456,+15,32%,28%,54.0%,-2%
11,Wall-Porter-Pierce-Nene-Gortat,.548,.505,+4,38%,21%,56.0%,-2%
12,A.Miller-Beal-Butler-Humphries-Seraphin,.481,.441,-6,43%,36%,59.5%,-10%
13,Wall-Temple-Porter-Nene-Gortat,.453,.390,0,24%,27%,49.0%,+7%
14,A.Miller-Porter-Butler-Gooden-Seraphin,.478,.462,-8,28%,31%,56.0%,-12%
15,Wall-Temple-Pierce-Gooden-Gortat,.493,.440,+13,39%,30%,49.0%,-2%
16,Wall-Beal-Butler-Nene-Gortat,.473,.313,+4,34%,23%,49.5%,-1%
17,Wall-Temple-Porter-Gooden-Gortat,.525,.458,-5,28%,18%,47.5%,+7%
18,Wall-Porter-Butler-Humphries-Gortat,.561,.373,+9,32%,29%,57.0%,+4%
19,A.Miller-Webster-Butler-Humphries-Seraphin,.322,.426,+1,29%,28%,55.5%,-15%
20,Wall-Beal-Butler-Pierce-Gortat,.478,.412,-11,41%,31%,47.0%,-6%
